customer_id,full_name,mobile_number,email,dob,gender,created_date,customer_status,address_line,city,state,country,pincode,region
527ab281-53e6-404d-9065-e4eb8581d9a6,Aryan Maharaj,+919276804025,aryan.maharaj@yahoo,1968-07-11,Male,2025-08-22 20:24:58,Pending Review,"282, Chahal Circle",Mumbai,Maharashtra,India,043321,India
39697ba6-06bc-42f4-bb93-4af65959b0eb,Harsh Chahal,9320419026,harsh.chahal@yahoo.com,1986-11-05,Male,2024-11-05 14:13:42,Activated,"105, Bala",Mumbai,Maharashtra,India,001338,India
7b10d88b-967c-4c73-a6de-990f2b93f5df,Ayushman Chander,8065242962,ayushman.chander33@gmail.com,1967-02-19,Other,2026-06-18 07:08:29,Activated,"90, Dutta Nagar",Indore,Madhya Pradesh,India,863794,India
d88b5f27-a5b3-49e3-b8e4-f026b38eb238,Rushil Saini,+918258329500,rushil.saini@yahoo.com,1967-03-26,Female,2025-08-24 21:37:55, Rejected  ,"96, Rai Zila",Mumbai,Maharashtra,India,542351,India
707abe8d-2e82-401e-9e8e-6ef8852aabc3,Abeer Dutta,8144982519,abeer.dutta@hotmail.com,1992-07-20,Other,2025-01-27 17:07:49,In Progress,"28, Dash Circle",Chennai,Tamil Nadu,India,559407,India
eec104c9-c469-405c-9203-91775905700d,Arunima Dugal,+919507895169,arunima.dugal@hotmail.com,1966-12-17,other,2025-08-25 15:51:46,In Progress,"719, Boase Ganj",Jaipur,Rajasthan,India,184959,India
f35a25bb-bb92-4f31-99be-762f97bc7e1a,Harsh Chanda,+919522062980,harsh.chanda136@rediffmail.com,1975-09-08,Female,2026-04-15 20:16:08,LEAD,"604, Setty Road",Bengaluru,Karnataka,India,341316,India
56cddc8a-698c-49a9-add6-6077ad22ce1e,Hemangini Lalla,+918043821442,hemangini.lalla@gmail.com,,Other,2025-12-02 10:48:26,Activated,"778, Garg",Kochi,Kerala,India,255341,India
14f42ddf-3754-4a49-8b83-e33408503b94,Tripti Yadav,9392744995,tripti.yadav60@outlook.com,1962-03-01,Male,2025-12-24 20:42:11,Activated,"349, Bhalla Path",Surat,Gujarat,India,276483,India
5a2f58c0-dc06-4457-843f-710a6ef5e439,Farhan Memon,8218256455,farhan.memon406@outlook.com,1999-07-05,MALE,2025-01-10 15:44:52,Activated,"782, Murty",Bengaluru,Karnataka,India,056413,India
24713bd1-45ad-405a-8a92-f36ac6c75e04,Rehaan Boase,9224539856,rehaan.boase@gmail.com,1957-12-23,male,2025-01-13 07:22:04,Lead,"100, Yohannan Ganj",Mumbai,Maharashtra,India,767242,India
69531b00-0fa4-45c1-9d48-f8cc1bcff769,Bimala Buch,+91-8042076275,bimala.buch@gmail.com,2000-11-18,Other,2026-03-21 17:32:21,ACTIVATED,"271, Upadhyay Street",New Delhi,Delhi,India,969653,India
96a44e3c-d0a0-44a8-816c-d87deba32fd2,Lajita Mall,984G27958E,lajita.mall@yahoo.com,1979-07-31,Female,2026-06-22 17:52:49,Activated,"550, Bhatt",Jaipur,Rajasthan,India,101226,India
818f03d7-700e-4af5-9e3d-5bd71bbb1140,Nicholas Prabhakar,+91-9419388263,nicholas.prabhakar@outlook.com,1974-05-18,MALE,2025-10-31 16:00:36,in progress,"81, Contractor Nagar",Patna,Bihar,India,697848,India
9edd906b-160a-4c2b-a6b6-aecd7d1eea07,Ekbal Garg,9653527095,ekbal.garg@yahoo.com,1983-11-10,Other,2024-11-24 08:24:22,In Progress,"634, Lall Nagar",Gurugram,Haryana,India,514627,India
cf778cc3-e46f-40a5-b0ce-3ba1c3ec1b44,Nihal Shere,9969635024,nihal.shere@rediffmail.com,1975-08-29,other,2026-03-09 18:36:16,In Progress,"197, Prakash Street",New Delhi,Delhi,India,814893,India
f5be71ec-3d1a-456c-9b44-b341e502e3c9,Ekta Bhalla,9102480461,ekta.bhalla705@yahoo.com,1967-09-09,female,2024-10-05 07:21:46,Pending Review,"234, Choudhury Nagar",Mumbai,Maharashtra,India,880957,India
b358f141-69bd-40f5-8de7-911997ad2051,Diya Rattan,9553748849,diya.rattan@rediffmail.com,1969-09-27,Other,2026-05-07 22:08:06,Rejected,"876, Sunder Zila",Chandigarh,Chandigarh,India,430391,India
1e8ab7a7-33df-4bd3-bd01-e8ccc3f0d5c1,Divya Kala,9312434083,divya.kala@gmail,1990-04-15,Female,2025-07-23 10:48:58,Approved,"285, Wable Road",Mumbai,Maharashtra,India,822782,India
1568672f-2b2f-43ad-8d94-8e7ebf7727da,Tara Dhar,9036414160,tara.dhar439@gmail.com,1969-08-02,female,2025-01-14 09:37:18,Pending Review,"167, Varughese Chowk",Gurugram,Haryana,India,383465,India
480b7157-c355-4206-8519-df3bd6e1d074,Adya Sangha,+919593676791,adya.sangha@,2003-02-18,Female,2025-01-07 00:55:46,activated,"274, Karpe",Bengaluru,Karnataka,India,133150,India
472837ae-52f3-4671-a2aa-ec114b6e7009,Janaki Kanda,+919036937066,janaki.kanda@outlook.com,2008-05-29,Male,2026-01-10 08:29:01,In Progress,"74, Bobal Path",Surat,Gujarat,India,010310,India
22da165f-ff51-4301-a1a1-ff8a101d6b63,Yashodhara Tak,8687479285,yashodhara.tak873@hotmail.com,1960-05-13,Male,2025-04-09 16:21:41,Pending Review,"747, Solanki",Pune,Maharashtra,India,473829,India
91a10f5c-8549-4692-8757-6872065a6b8a,Imaran Dua,+919258551245,imaran.dua@rediffmail.com,1988-10-20,Female,2025-10-17 05:34:22,Pending Review,"277, Sampath Path",Hyderabad,Telangana,India,763116,India
2178cc7d-85db-4f2b-835c-c153f67178c4,Devansh Rajan,8221115712,devansh.rajan@hotmail.com,1975-10-10,FEMALE,2024-12-18 01:56:32,Approved,225 Sibal Marg,Doha,NA,Qatar,106513,Middle East
8ef86eb8-c10f-4258-b43d-88dfded5e7f6,Zayan Apte,+91-9854410948,zayan.apte831@gmail.com,1991-08-09,Other,2025-12-12 04:05:25,Activated,"795, Shere Road",Chandigarh,Punjab,India,387262,India
162bbf6f-b1f9-492c-abc8-8893a748247d,Amara Oak,+918366792261,amara.oak419@gmail.com,1961-06-17,,2025-09-15 21:59:51,In Progress,"825, Chander Nagar",Gurugram,Haryana,India,178108,India
d902da9a-5787-4331-92a1-648d5ca05b7a,Nakul Setty,8581121210,nakul.setty@hotmail.com,1955-09-20,Female,2025-09-07 02:24:49, REJECTED  ,"217, Gala Nagar",Bengaluru,Karnataka,India,267736,India
ac67d83d-1d9b-41b3-9972-b0de03ab9bca,Xiti Gokhale,8859962074,xiti.gokhale@yahoo,1982-06-16,Female,2025-09-04 13:29:06,REJECTED,"736, Sur Circle",Chennai,Tamil Nadu,India,064746,India
5d973de1-81e8-48eb-be2f-92714a97b0a0,Chanchal Tripathi,+91-8002178808,chanchal.tripathi@hotmail.com,1987-10-29,,2026-05-11 13:07:20,Lead,"406, Murthy Nagar",Ahmedabad,Gujarat,India,343098,India
6ef07dc5-e7d6-4478-b959-c400fb1e0494,Kashvi Edwin,8773042819,kashvi.edwin@outlook,1984-02-19,Male,2026-04-01 21:49:33,activated,"147, Trivedi Nagar",Ahmedabad,Gujarat,India,097882,India
a3562381-f5d9-46e6-9b90-20965280d81c,Ekiya Suresh,8372078568,ekiya.suresh@outlook.com,1956-07-31,other,2025-11-27 02:16:14,In Progress,"575, Koshy Zila",Bengaluru,Karnataka,India,219136,India
561ca91d-8a72-4cdf-8552-0a6e0d232241,Damyanti Khatri,+918761919318,damyanti.khatri148@rediffmail.com,1958-08-14,Female,2025-08-15 10:33:19,Lead,"439, Lal Path",Lucknow,Uttar Pradesh,India,916998,India
e136d852-f5ad-430a-afd1-6fc12db35b42,Frederick Sunder,+918780069974,frederick.sunder@gmail.com,1998-10-19,male,2026-03-24 01:07:09,activated,"225, Mutti Chowk",New Delhi,Delhi,India,534624,India
a8a3860c-e127-412b-993d-d0ac88c9f6e0,Kabir Soman,8629142208,kabir.somanyahoo.com,2005-09-25,Female,2025-09-09 02:26:23,Activated,522 Andra Zila,Dubai,NA,United Arab Emirates,991183,Middle East
2bdcc9b5-36bc-4aa8-bf3c-bb8628248205,Alka Wable,9608308799,alka.wable@outlook.com,2001-10-15,other,2025-03-28 17:43:03,Activated,"882, Sarma Street",Lucknow,Uttar Pradesh,India,251354,India
5ad2cd9f-f7e7-424c-bfa0-f98d0065807d,Siddharth Zacharia,8031934278,siddharth.zacharia@,1995-07-31,Female,2025-04-18 14:16:10,PENDING REVIEW,"812, Lalla Street",Kolkata,West Bengal,India,980841,India
f19e97c4-be76-4d7f-86a8-43a14bfb340a,Devika Rastogi,8983705466,devika.rastogi240@outlook.com,,Other,2025-10-02 04:57:57,Lead,"395, Oza Ganj",Kolkata,West Bengal,India,182449,India
